meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1264,9955,81,48,2025-06-29T14:15:01.241000+00:00,18.105,31.327,21.189,300.0,231,False,70.621,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",295
1264,9955,81,49,2025-06-29T14:16:11.867000+00:00,17.631,31.347,21.222,,232,False,70.2,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",296
1264,9955,81,50,2025-06-29T14:17:22.064000+00:00,17.574,31.33,21.169,299.0,227,False,70.073,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",297
1264,9955,81,51,2025-06-29T14:18:32.161000+00:00,17.586,31.343,21.185,303.0,230,False,70.114,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",298
1264,9955,81,52,2025-06-29T14:19:42.249000+00:00,17.569,31.323,21.122,301.0,228,False,70.014,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",299
1264,9955,81,53,2025-06-29T14:20:52.410000+00:00,17.542,31.202,24.294,300.0,229,False,73.038,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",299
1264,9955,81,54,2025-06-29T14:22:05.346000+00:00,33.772,31.651,20.884,309.0,232,True,86.307,"[2064, 2064, 2064, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",308
1264,9955,81,55,2025-06-29T14:23:31.603000+00:00,17.407,30.509,20.642,296.0,237,False,68.558,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2051, 2051, 2049]","[2051, 2051, 2048, 2049, 2049, 2049, 2049, 2048]",297
1264,9955,81,56,2025-06-29T14:24:40.409000+00:00,17.288,30.404,20.591,297.0,236,False,68.283,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2051, 2051, 2048]","[2051, 2051, 2049, 2048, 2048, 2048, 2051, 2051]",299
1264,9955,81,57,2025-06-29T14:25:48.574000+00:00,17.281,30.804,20.654,312.0,235,False,68.739,"[2049, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2051, 2048, 2048, 2048]",298
1264,9955,81,58,2025-06-29T14:26:57.176000+00:00,17.272,30.444,20.441,301.0,237,False,68.157,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2051]","[2051, 2051, 2051, 2049, 2051, 2048, 2048, 2048]",299
1264,9955,81,59,2025-06-29T14:28:05.390000+00:00,17.09,30.374,20.46,316.0,235,False,67.924,"[None, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2049, 2051, 2048, 2048]","[2051, 2048, 2048, 2051, 2048, 2051, 2048, 2048]",311
1264,9955,81,60,2025-06-29T14:29:13.260000+00:00,17.307,30.284,20.494,302.0,239,False,68.085,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2051, 2051]","[2048, 2048, 2051, 2051, 2048, 2048, 2048, 2048]",300
1264,9955,81,61,2025-06-29T14:30:21.486000+00:00,17.085,30.53,20.547,319.0,236,False,68.162,"[None, 2048, 2048, 2048, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2051, 2048, 2048, 2048, 2048]",297
1264,9955,81,62,2025-06-29T14:31:29.571000+00:00,17.235,30.531,20.606,304.0,234,False,68.372,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2051, 2048, 2048, 2048]",299
1264,9955,81,63,2025-06-29T14:32:37.878000+00:00,17.369,30.82,20.714,301.0,234,False,68.903,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",296
1264,9955,81,64,2025-06-29T14:33:46.858000+00:00,17.298,30.804,20.85,,230,False,68.952,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",299
1264,9955,81,65,2025-06-29T14:34:55.808000+00:00,17.11,30.804,20.576,318.0,234,False,68.49,"[2049, 2051, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",298
1264,9955,81,66,2025-06-29T14:36:04.278000+00:00,17.38,30.929,20.728,299.0,233,False,69.037,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",297
1264,9955,81,67,2025-06-29T14:37:13.379000+00:00,17.512,30.902,20.673,302.0,236,False,69.087,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",298
1264,9955,81,68,2025-06-29T14:38:22.426000+00:00,17.487,30.982,20.804,,234,False,69.273,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",300
1264,9955,81,69,2025-06-29T14:39:31.615000+00:00,17.273,31.101,21.094,310.0,233,False,69.468,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",305
1264,9955,81,70,2025-06-29T14:40:41.102000+00:00,17.082,31.822,21.878,330.0,224,False,70.782,"[2051, 2048, 2048, 2048, 2049, 2051]","[2048, 2048, 2048, 2051, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]",321
